"Time","Sector","PercentHourlyWorkload","Scenario"
"01:00:00","TMA_DUBROVNIK",0,"Current"
"00:20:00","TMA_DUBROVNIK",0,"Current"
"00:40:00","TMA_DUBROVNIK",0,"Current"
"00:50:00","TMA_DUBROVNIK",0,"Current"
"00:30:00","TMA_DUBROVNIK",0,"Current"
"01:10:00","TMA_DUBROVNIK",0,"Current"
"01:50:00","TMA_DUBROVNIK",0,"Current"
"01:20:00","TMA_DUBROVNIK",0,"Current"
"01:30:00","TMA_DUBROVNIK",0,"Current"
"01:40:00","TMA_DUBROVNIK",0,"Current"
"02:00:00","TMA_DUBROVNIK",0,"Current"
"02:40:00","TMA_DUBROVNIK",0,"Current"
"02:10:00","TMA_DUBROVNIK",0,"Current"
"02:20:00","TMA_DUBROVNIK",0,"Current"
"02:30:00","TMA_DUBROVNIK",0,"Current"
"02:50:00","TMA_DUBROVNIK",0,"Current"
"03:30:00","TMA_DUBROVNIK",0,"Current"
"03:00:00","TMA_DUBROVNIK",0,"Current"
"03:10:00","TMA_DUBROVNIK",0,"Current"
"03:20:00","TMA_DUBROVNIK",0,"Current"
"03:40:00","TMA_DUBROVNIK",0,"Current"
"03:50:00","TMA_DUBROVNIK",0,"Current"
"04:20:00","TMA_DUBROVNIK",0,"Current"
"04:10:00","TMA_DUBROVNIK",0,"Current"
"04:00:00","TMA_DUBROVNIK",0,"Current"
"04:30:00","TMA_DUBROVNIK",0,"Current"
"04:40:00","TMA_DUBROVNIK",0,"Current"
"05:10:00","TMA_DUBROVNIK",0,"Current"
"04:50:00","TMA_DUBROVNIK",0,"Current"
"05:00:00","TMA_DUBROVNIK",0,"Current"
"05:20:00","TMA_DUBROVNIK",0,"Current"
"05:50:00","TMA_DUBROVNIK",0,"Current"
"05:30:00","TMA_DUBROVNIK",0,"Current"
"05:40:00","TMA_DUBROVNIK",0,"Current"
"06:00:00","TMA_DUBROVNIK",0,"Current"
"00:00:00","TMA_DUBROVNIK",0,"Current"
"06:10:00","TMA_DUBROVNIK",0,"Current"
"06:50:00","TMA_DUBROVNIK",0,"Current"
"06:30:00","TMA_DUBROVNIK",0,"Current"
"06:40:00","TMA_DUBROVNIK",0,"Current"
"06:20:00","TMA_DUBROVNIK",0,"Current"
"07:00:00","TMA_DUBROVNIK",0,"Current"
"07:40:00","TMA_DUBROVNIK",0,"Current"
"07:10:00","TMA_DUBROVNIK",0,"Current"
"07:20:00","TMA_DUBROVNIK",0,"Current"
"07:30:00","TMA_DUBROVNIK",0,"Current"
"07:50:00","TMA_DUBROVNIK",0,"Current"
"08:30:00","TMA_DUBROVNIK",0,"Current"
"08:10:00","TMA_DUBROVNIK",0,"Current"
"08:20:00","TMA_DUBROVNIK",0,"Current"
"08:00:00","TMA_DUBROVNIK",0,"Current"
"08:40:00","TMA_DUBROVNIK",0,"Current"
"09:20:00","TMA_DUBROVNIK",0,"Current"
"08:50:00","TMA_DUBROVNIK",0,"Current"
"09:10:00","TMA_DUBROVNIK",0,"Current"
"09:00:00","TMA_DUBROVNIK",0,"Current"
"09:30:00","TMA_DUBROVNIK",0,"Current"
"09:40:00","TMA_DUBROVNIK",0,"Current"
"10:10:00","TMA_DUBROVNIK",0,"Current"
"09:50:00","TMA_DUBROVNIK",0,"Current"
"10:00:00","TMA_DUBROVNIK",0,"Current"
"10:20:00","TMA_DUBROVNIK",0,"Current"
"10:30:00","TMA_DUBROVNIK",0,"Current"
"11:00:00","TMA_DUBROVNIK",0,"Current"
"10:50:00","TMA_DUBROVNIK",0,"Current"
"10:40:00","TMA_DUBROVNIK",0,"Current"
"11:30:00","TMA_DUBROVNIK",0,"Current"
"11:10:00","TMA_DUBROVNIK",0,"Current"
"11:20:00","TMA_DUBROVNIK",0,"Current"
"11:40:00","TMA_DUBROVNIK",0,"Current"
"11:50:00","TMA_DUBROVNIK",0,"Current"
"12:20:00","TMA_DUBROVNIK",0,"Current"
"12:00:00","TMA_DUBROVNIK",0,"Current"
"12:10:00","TMA_DUBROVNIK",0,"Current"
